# Age (lower edge), Age (upper edge), Log Gross Income (lower edge), Log Gross Income (upper edge), Probability
15, 25, 8.2, 8.4, 0.09106123102982884
15, 25, 8.4, 8.6, 0.0
15, 25, 8.6, 8.8, 0.10063159466962866
15, 25, 8.8, 9.0, 0.04123458916382806
15, 25, 9.0, 9.2, 0.046154341016633176
15, 25, 9.2, 9.4, 0.14892471980080504
15, 25, 9.4, 9.6, 0.229836619833918
15, 25, 9.6, 9.8, 0.0676370258615423
15, 25, 9.8, 10.0, 0.026848815335690137
15, 25, 10.0, 10.2, 0.19140674037914934
15, 25, 10.2, 10.4, 0.027637911305587487
15, 25, 10.4, 10.6, 0.0
15, 25, 10.6, 10.8, 0.028291284419462985
15, 25, 10.8, 11.0, 0.0002234181226171989
15, 25, 11.0, 11.2, 0.0
15, 25, 11.2, 11.4, 0.0
15, 25, 11.4, 11.6, 0.0
15, 25, 11.6, 11.8, 0.00011170906130859844
15, 25, 11.8, 12.0, 0.0
25, 35, 8.2, 8.4, 0.016537175571403565
25, 35, 8.4, 8.6, 0.010484585195653862
25, 35, 8.6, 8.8, 0.014794139102043701
25, 35, 8.8, 9.0, 0.06555189026374553
25, 35, 9.0, 9.2, 0.02498439379406838
25, 35, 9.2, 9.4, 0.04249058662652076
25, 35, 9.4, 9.6, 0.07001786535817821
25, 35, 9.6, 9.8, 0.07872115655129752
25, 35, 9.8, 10.0, 0.13962513888539888
25, 35, 10.0, 10.2, 0.09155087436642001
25, 35, 10.2, 10.4, 0.11406948014860761
25, 35, 10.4, 10.6, 0.13919467614034178
25, 35, 10.6, 10.8, 0.08515819864156417
25, 35, 10.8, 11.0, 0.051278760762082445
25, 35, 11.0, 11.2, 0.0333387674546071
25, 35, 11.2, 11.4, 0.009601225828024295
25, 35, 11.4, 11.6, 0.012477220446537136
25, 35, 11.6, 11.8, 0.00012386486350512722
25, 35, 11.8, 12.0, 0.0
35, 45, 8.2, 8.4, 0.0047297320426328854
35, 45, 8.4, 8.6, 0.019423619213065974
35, 45, 8.6, 8.8, 0.009597471987345197
35, 45, 8.8, 9.0, 0.02130392274668724
35, 45, 9.0, 9.2, 0.030740067772950543
35, 45, 9.2, 9.4, 0.04300511318594487
35, 45, 9.4, 9.6, 0.051277828741622275
35, 45, 9.6, 9.8, 0.06707277649315667
35, 45, 9.8, 10.0, 0.09226015885136576
35, 45, 10.0, 10.2, 0.10741463032434914
35, 45, 10.2, 10.4, 0.1186134597465683
35, 45, 10.4, 10.6, 0.12738091090998999
35, 45, 10.6, 10.8, 0.1018692434589615
35, 45, 10.8, 11.0, 0.07678869217233114
35, 45, 11.0, 11.2, 0.054845167977296064
35, 45, 11.2, 11.4, 0.039940701981318154
35, 45, 11.4, 11.6, 0.01830251704048397
35, 45, 11.6, 11.8, 0.012199344332997285
35, 45, 11.8, 12.0, 0.003234641020933162
45, 55, 8.2, 8.4, 0.004907509551488278
45, 55, 8.4, 8.6, 0.012976262529259477
