# Log Gross Income (lower edge), Log Gross Income (upper edge), Log Net Wealth (lower edge), Log Net Wealth (upper edge), Probability
8.2, 8.4, 0.0, 0.5, 0.0
8.2, 8.4, 0.5, 1.0, 0.0
8.2, 8.4, 1.0, 1.5, 0.052787378128399946
8.2, 8.4, 1.5, 2.0, 0.0
8.2, 8.4, 2.0, 2.5, 0.1641631997449948
8.2, 8.4, 2.5, 3.0, 0.0
8.2, 8.4, 3.0, 3.5, 0.0
8.2, 8.4, 3.5, 4.0, 0.0
8.2, 8.4, 4.0, 4.5, 0.0
8.2, 8.4, 4.5, 5.0, 0.08041183835673525
8.2, 8.4, 5.0, 5.5, 0.07782373617636384
8.2, 8.4, 5.5, 6.0, 0.06365807315845695
8.2, 8.4, 6.0, 6.5, 0.009663041538259916
8.2, 8.4, 6.5, 7.0, 0.10211653225201196
8.2, 8.4, 7.0, 7.5, 0.0
8.2, 8.4, 7.5, 8.0, 0.18679703269411732
8.2, 8.4, 8.0, 8.5, 0.00046223768936770306
8.2, 8.4, 8.5, 9.0, 0.07174377636912067
8.2, 8.4, 9.0, 9.5, 0.06526994634687643
8.2, 8.4, 9.5, 10.0, 0.07469369221605691
8.2, 8.4, 10.0, 10.5, 0.04226882972556687
8.2, 8.4, 10.5, 11.0, 0.0004519794870546242
8.2, 8.4, 11.0, 11.5, 0.000786529235318235
8.2, 8.4, 11.5, 12.0, 0.0035692120262849057
8.2, 8.4, 12.0, 12.5, 0.0003932646176591175
8.2, 8.4, 12.5, 13.0, 0.002002577106947927
8.2, 8.4, 13.0, 13.5, 0.0003932646176591175
8.2, 8.4, 13.5, 14.0, 3.5048477037645565e-05
8.2, 8.4, 14.0, 14.5, 0.0005088100357096146
8.2, 8.4, 14.5, 15.0, 0.0
8.2, 8.4, 15.0, 15.5, 0.0
8.2, 8.4, 15.5, 16.0, 0.0
8.2, 8.4, 16.0, 16.5, 0.0
8.2, 8.4, 16.5, 17.0, 0.0
8.2, 8.4, 17.0, 17.5, 0.0
8.4, 8.6, 0.0, 0.5, 0.02492197923615883
8.4, 8.6, 0.5, 1.0, 0.0
8.4, 8.6, 1.0, 1.5, 0.0
8.4, 8.6, 1.5, 2.0, 0.0
8.4, 8.6, 2.0, 2.5, 0.0
8.4, 8.6, 2.5, 3.0, 0.024428547370970978
8.4, 8.6, 3.0, 3.5, 0.0
8.4, 8.6, 3.5, 4.0, 0.009176704773521815
8.4, 8.6, 4.0, 4.5, 0.09190274936639052
8.4, 8.6, 4.5, 5.0, 0.018806745827903853
8.4, 8.6, 5.0, 5.5, 0.05730694019976812
8.4, 8.6, 5.5, 6.0, 0.09582632837233215
8.4, 8.6, 6.0, 6.5, 0.02949388800678078
8.4, 8.6, 6.5, 7.0, 0.050903473535627686
8.4, 8.6, 7.0, 7.5, 0.058711008144507845
8.4, 8.6, 7.5, 8.0, 0.07639923693691136
8.4, 8.6, 8.0, 8.5, 0.049631070658336406
8.4, 8.6, 8.5, 9.0, 0.020889505787869522
8.4, 8.6, 9.0, 9.5, 0.26458917715536573
8.4, 8.6, 9.5, 10.0, 0.05364863644564106
8.4, 8.6, 10.0, 10.5, 0.03290589225007616
8.4, 8.6, 10.5, 11.0, 0.012783898308479136
8.4, 8.6, 11.0, 11.5, 0.0
8.4, 8.6, 11.5, 12.0, 0.0
8.4, 8.6, 12.0, 12.5, 0.027660476670606397
